tupi,portugues
GUAlÃ-U-'CÃ,a de.
GUAÍ'-BÍ,"esposa, velha."
GUAl'-BÍ-ÃIA,variedade de sargo.
GUAl'-Bl-KUARA,"peixe-roncador, da familia dos cianldeos, gênero Bairdiella."
GUAl'-BÍ GUAI'-BÍ-A-BUKU,"nome de um jogo in fantil. A duplicagão e ""buku"" são decon- tinuidade e duragão."
GUAÍ-MI,": esposa, velha."
GUAÍ-MÍ-KUARA,o pogo da velha.
GUAÍ-MURÉ,"aimore, tribo botocuda dos se- culos XVI e XVII do Espirito Santo e Bahia."
GUAÍ-NU-MBY,"beija-flor, passaro da familia dos troquilideos, que se ai¿ mentam do néctar das flores.."
GUA-NHUMY,constelação.
GUAÍ-R-AKÃ,"lontra, carnlvoro da familia dos mustelideos, genero Lutra."
GUAl-T-AKA,"goitacãs, tribo de indios."
GUAÍTO',"sobrinhal Ego homem, de carinho e não leva possessivo."
GUAÍ-U,"intransitivo: ficar tonto com entorpoceden. tes, Entomologia: formiga-correigão, da familia dos dorilideos, genero Eciton."
GUAI -U-PlA,nome de um espirito dos pajés bons.
GUAKÃ,gaivota.
GUAKA-GUAQU,'variedade de gaivota.
GUAKARÉ,variedade de búzio.
GUAKARI,"acari, peixe da familia dos lorica- rideos, gêneros diversos como Percostomus. Também chamado cascudo."
GUAMÃ,"peixe-coelho ou quimera, da familia dos calorringuideos, gênero Callorynchus."
GUAMÃ-lAKU,"peixe-sapo ou pacaraão, da familia dos primelodideos, gênero Lophiosilurus."
GUAMÃ-lAKU-A-PÉ,peixe-vaca ou taéca.
GÚAMÃ-ÍAKU-KURUBA,variedade de peixe.
GÚAMA-lAKU-TINGA,peixe-coelho.
GUA-MB-Ã,"gambã, mar supial da familia dos dedelfideos, ginero Didel- phus."
GUA-MB-Ã IAKU,"peixe-coelho, da familia dos calorrinquindeos, gênero Callorynchus."
GUA-MB-Ã IAKU-A-PÉ,peixe-vaca.
GUA-MB-Ã IAKU-TINGA,"peixe-coelho, da familia dos calorrinquideos, gênero Callorynchus.= guamã. gOa-mb'-A Iaku-gOarA gOA-pyku gOa-MB'-A ÍAKU-GOarA. Jctiologia: peixe-porco, da familia dos monacantideos, genero Monacanthus."
GOana,"para exprimir nacionalidade, precedido da preposigao locativa ""i"" que, muitas vezes, se elide, se vem depois de ""y"": morador. Ex.: ybytyr-i-guana: habitante da serra."
GOA-NA-BARA,": ba- cia semelhante ao mar, baia, enseada, lagamar."
GOA-NA-PARA,"bacia semelhante ao mar, bala, enseada, lagamar."
GOANG-A,transitivo: tingir (com-urucu).
GOA-NIÍA,"aquele que corre, corredor. gOA-NHA-MU. Crustaceologia: variedade de caranguejo. As- tronomia: nome de uma constelagão."
GOA-NHA-M,variedade de caranguejo. As- tronomia: nome de uma constelagão.
GOA-NHANDI,"o que & grudento, liquido vis - guento de ãrvore desse nome. Bot, ã - nica: guanhandi, ãrvore da familia das gutiferas, gçnero Symphonia. gOA-NH'U-MÍ. Crustaceologia: variedade de caranguejo."
GOAPAR'-E-Y-TYBA,mangal.
GOAPEMA,nome de vãrios peixes.
GOA-PI-AgU,a cabeceira grande.
GOA-PI-ARA,o que ja
GOA-PI-ARA,no fundo de uma conca- vidade. Literal: do fundo do vale ou da baixada. g 0A-PITANGA. Substantivo: a madeira vermelha.
GUA-PUY,o individuo delgado.
GOA-PYK-ABA,"assento, lugar de estar assenta- do."
GOA-PYK-ABA,"banco, cadeira."
GOA-PYKU,"pica-pau, ave da familia dos pici- deos, generos diversos."
GUAR-A,"transitivo: 1 apanhar, pegar, tomar. 2 Be ber, comer (neste caso a composjgtto é ""gu+uara"". gOarA. Ornitologia: guarã, garga, ave da familia dos ar- deideos, gênero Leucophyx."
GOarS—A-BUKU,manto de pénas.
GOarS—A-BUKU,"Manto. gOarA-AKA-PEMA. Substantivo: o individuo de cabega esqui- nada. Ictiologia: dourado, peixe da familia dos caracideos, gênero Salminus."
GUARAB-A,"transitivo: remexer, resolver."
GOarA-BAKHANA,"olho-de-boi, peixe da familia dos carangideos, gênero Seriola. gOarA-B-O. Botanica: ãrvore da familia das leguminosas, subfamilia Cesalnea, gênero Peltogyne. Entomolo gia: certa abelha do gênero Melipona-O ""ñ"" é equivalente a ""una"" (preto)."
GOARA-gY,"a mãe dos viventes, o criador da gente. Astronomia: o sol. gOarA-QY-ABA- Substantivo:! os cabelos do sol, os raios do sol. 2 0 cabelo loiro. Ornitologia: o beija-flor, passarinho micropodiforme, da familia dos troqul. deos."
GUArA-QYNYNGA,: ave ruidosa do gênero Pitylus.
GOARA-gY-'OBA,"o beija-flor, passarinho da familia dos troquilldeos."
G0A-R-A-g 0A,espelho. A duplicagão é de real- ce ã duplicidade da coisa refletida.
GOARAGOA,"peixe-boi, da familia dos triqueqril deos, gênero Trichechus."
GUARÃ-PJRANGA gOarã-GUARÃ,": peixe-boi, mamlfero da familia dos triquiqul deos, genero Trichechus. fi encontrado no Rio"
GUARÃ-GUÃ-U,o comedouro do peixe-boi.
GUARÃ-I^IKA,J o pãu resinoso. 2 0 individuo viscoso.
GUARÃ-ÍUBA,"variedade de xaréu, da familia dos caranqldeos, qenero Carans."
GUARÃ-KANG-YRA,"pampano, peixe da familia dos carangadeos, ginero Trachynotus."
"GUARÃ-KAPÃ,","o escudo, a rodela de couro, e também de vime, para defesa contra flecha."
GUARÃ-KAPÃ-PY-GUAIA,"o escudo, a rodela."
GUARÃ-KigABA,ninho das gargas.
GUARÃ-MIRI,"carapu, peixinho da familia dos carangideos, genero Decapterus."
GUARÃ-NHANA,variedade de xaréu.
GUARÃ-' OBA-NHANA,"olho-de-boi, peixe da fami lia dos carangideos, gênero Seriola."
GUARÃ-OBY;,"dourado, peixe da familia dos ca- racldeos, gênero Salminus."
GUARAP-A,"gerundio de guarab; o resolvido, o remexido: garapa."
"GUARÃ-PARI,",cercado ou curral dos pãssaros..
GUARÃ-PE-giKA,"indivlduo liso, polido e tam bem made'ira lisa."
GUARÃ-PIRANGÃ,escarpa ao longo do mar ou do rio. gOa-r-apO
GOarA-PU,"o ruldo dos guarãs. gOarA-PUKU. Ictiologia: (o individuo comprido): cavala, pei"
GOarA-PU,"xe escombrldeo, espécie de sarda ou xaréu."
GUARARÃ,tambor.
GOARARA-PE,"nos tambores. gOarA-REMA. Botanica: pau-dalho, ãrvo- re da familia das fitolacãceas, genero Gailezia."
GOarA-rIeI,"variedade de ra. gOarA-r-u. Crustaceologia: variedade de caranguejo. gOarA-R-Y-E-Y. Zoologia: ra, anflbio da familia dos ranl- deos, gênero Rana."
GOARA-T-EREBA,"variedade de chicharro, peixi- nho da familia dos carangldeos, gênero Trachurus."
GOarA-TYBA,sltio das gargas.
GUARÃ-UNA,variedade de ave.
GUARI,"espiralado, retorcido, tortuoso."
GUARIBA,"guariba ou bugio, variedade de macaco, da familia dos cebideos, gênero Alonatta. Em tu- pinambã é ñarive."
GUARI-KURU,"variedade de camarao, da fanvi lia dos peneldeos."
GUARINÍ,combate. 2 Guerreiro.
GOARINI-A-MA,guerra.
GUARINI-Ã-ME,na guerra.
GOARINI-BuAia,intransitivo: pregoar a guerra.
GÚARINÍ-gARA,"combatente, guerreiro."
GUARINÍ-RAMO-^0,transitivo: ir para a guerra.
GUARINI-E^fi,"transitivo: combater, guerrear."
GOarIPOÃ-PEMA,"variedade de molusco, animal entorozoario. ""y"" ou de"
GyARU-GUA,esoelho. » aru-guã.
GOARY-ATÃ-KÃ,"i o indivlduo corredor, o indivi- duo velo"
GOARY-ATÃ-KÃ,. 2 Nomade. guatA gua-y-t-ara-kA
GUATÃ,"intransitivo: i dar, não faltar. 2 Andar, cami nhar, passear."
GUATA-NHÉ,intransitivo: andar a pé.
GUATA-PYQY,espécie de buzio.
GUATÃ-PY-GUAQU,variedade de búzio. f
GÚATAR-A,"intransitivo: faltar, não dar e, na forr ma neqativa: bastar."
GÚATU-KUPÃ,"corvina, peixe da familia dos cianldeos, genero Micropogon.= guatu-kupã-pirema."
GUATU-KUPÃ-AgABA,"roncador, peixe da familia dos cianideos, gênero Bairdiella, e outro da fa mllia dos pomadasldeos, gênero Conodon."
GUATU-KUPÃ-ÍUBA,"salema adulta ou acarapinima adulta, peixe da familia dos ciclldeos."
GUATU-KUPÃ-PIREMA,"corvina, peixe da familia dos cianldeos, gênero Micropogon."
GUATU-KUPÃ-PIXIMA,"variedade de pescada, pe_i xe da familia dos cianldeos, gênero Cynoscion."
GUATU-KUPÃ-PUKU,"peixe da familia dos gadldeos, variedade de pescada,"
GUATU-'PÃ-PIXYMA,"variedade de pescada, da familia dos gadldeos."
GUA-U-PAKARÉ,a lagoa torta das baixadas ou brago de rio.
GUA-U,"danga cantada, canto."
GUAUPIRAl,: manal Dispensa o possessivo.
GÚ-A-Y,"ãgua em seio, bala, enseada."
GUAYÃ,"sósia, parecido ou gente da mesma ra- ga,"
GUAYÃ,": caranguejo, crustãceo decãpode."
GUÃ-Y-BE,"na enseada, na bala."
GUA-Y-RA-RÃ,variedade de caranguejo.
"GUA-Y-T-ARA-KÃ,",o que muda de cor.
GUflI,: olã: Upai Valha- nos-Deus! Veja só!. Serã possix'el?! É de espanto e zombaria.
GUEB-A,"apagado. Verbo: intransitivo: apagar, apagar- se."
GUEB'-UQU,"agulhio-bandeira, peixe da familia dos istioforideos, genero Istiophorus."
GUE-SAMA,linha de pescar.
GUflENA,vomito.
GUÉ-I-PE,"alhures. 0""i""é preposigão locativa."
GUÉ-Í-YB-A,"intransitivo: baixar, descer."
GUÉ-I-YP-A,intransitivo: des- cendo.
GUÉ —MI,nome da Ilha dos Frades.
GUÉ -TE-PE,inteiro.
GUÉ-TE-PE-BÉ,inteiro:
GUÉ-TE-PE-NDUARA,inteiro.
GUÉ-TE-PE-NHÉ,inteiro.
GUÉ-RO,lambisqueiro.
GUEY!,: 5! Pronto! Olã! k k ic
GÚI,"pessoãl da la pessoa do singular. Só se empre ga como Prefixo: de gerundio dos verbos intransiti - vos, dos intransitivados e dos relativos. Demonstxa tivo de aproximagão: eis que isso, eis al, eis que lã, eis."
GUI-API,"queda. Verbo: intransitivo: cair, levar queda."
GUI-I-Ã-BO,"intransitivo: la. pessoa do gerundio de ""é""."
GUI-KÉ-Ã-BO,"intransitivo: la. pessoa do gerundio de ""iké"": entrando eu."
GÚI-ME,"de aproximagão: al, lã."
GUI-M-É,intransitivo: sair ãs pressas. É modismo.
GUIRI,variedade de bagre marinho.
GOl-XO-BO,transitivo: moscar.
GOY-API,"intransitivo: cair, levar queda, levar tombo."
"GOY-API-TENHS,",intransitivo: cair sem apanhar.
"GOY-I-API. Verno intransitivo: cair, levar queda, levar tombo. = guy-api. gOy-UU","grilo, inseto da sub-ordem Grylloidea."
"GOym. Particula onomatopaica. Dã aos verbos o sentido de voar zunindo. Ex.: gúym-a-é: sal ãs preesas (voando, zu nindo)",intransitivo: (irregular): desapare- cer.
GUYM S,"intransitivo: ir esfuziando, moscar, sumir."
GUYRA,"nome genérico de aves, pãssaros, pas- sarinhos."
GUYRA,"concavidade, fundo, furna, parte in- ferior."
GUYRA-AKANGA-T-ARA,"anum branco, ave da fa- mllia dos cuculideos, gênero Crotophaga."
GUYRÃ-gAPUKÃIA,"galo, galinha. Em tupinambã é arinha-miri."
GóYRÃ-gAPUKÃIA-Agu,peru.
GUYRÃ-GUAgu-BERABA,variedade de passarinho.
GOyrÃ-gOy,"pica-pau. Designação comum a aves da ordem dos piciformes, da famliia dos picideos com cerca de 55 espécimens no Brasil. Sao trepa- doras."
GOyrã-Iuba,"guarubã, ave da familia dos psi- 1 tacideos, gênero Guaruba."
GOyrA-MÃ-ME,passarada. Literal: no bando dos passaros.
GUYRÃ-MIMBY,"variedade de cigarra. ""mimby é flauta. gOyrã-NHE-E-NGATU. Ornitologia: ceuiãrio, passarinho da familia dos fringilxdeos, gênero Serinus."
GUYRÃ-NHE-ENG '-ETÉ,"maria-branca, ave passe riforme da familia dos tiranideos, genero Xol - mis. Também é conhecida por pombinha branca."
GOYRÃ-OBY,variedade de gralha.
GUYRÃ-'PARA,arco.
GOyrA-PEREÍ,"variedade de saira, ave passe- riforme. gOyrã-PIA-gOara. Zuoloyia: cobra da familia dos colubrl- deos, génerc Drymarchon."
GOyrA-PONGA,"araponga, pãssaro da familia dos cotingideos, genero Procnias."
GOYRA-PURU,"ave passeriforme, conhecida pe- lo nome de Uirapuru, da farailia dos piprldeos, genero Pipra. Cantam 15 dias por ano, quando n; L dificam."
GUYRA-RAYR-UQU,frango.
GOYRA-TANG'-EYMA,ave da familia dos icte- rideos.
GOyRÃ-TIRIKA,"cardeal ou galo-de-campina, passarinho da familia dos fringilldeos, gênero"
GOYRA-uNA,"graúna, pãssaro da familia dos icterldeos, gênero Psomocolax."
GOYRA-U-ND'Y,ave da familia dos tanagri - deos.
GUYRA-u-PIA-GUARA,"papa-ovo, variedade de co- bra."
GOYR-I-gOanA. LocugSo comparativa: mogo do que,"ob, por debaixo de. menor em idade, mais"
GUYR-OK-A,"transitivo: limpar ou rocar o mato por bai xo, tirar a parte inferior."
GUYR-YBA,"desfalecido, enjoado, tonto."
GUYR-Y-RAMA,"ventoinha, catavento, piao. Dã idéia de coisa girando."
GUYR-Y-RYMA,"ventoinha, catavento, pião. Da idéia de coisa girando."
GUY'-TING'-OK-A,transitivo: tirar a ferrugem.
GUY'-TÍ-OK-A,transitivo: tirar a ferrugem.
HÉI,: 5' olãl (das raras palavras da linguagem de homems para homems).
HE GUÉ¡ Particulas agrupadas,"51, olãl, =. hel"
HE GUl. Particulas agrupadas,5'. olã.
I,"possessivo: seu, sua(s), dele(a)(s). Nas frases de M que"", ""cujo"", etc. hã casos de pos- sessivo ""i” em ve"
I,"de ""o"", referindo-se, embo- ra, ao sujeito da oração principal. Ainda que anormal, tal sintese se explica por certa inde- pendencia de, pelo menos, scntido desse gênero de frases. Pronome: objetivo: da 3a. pessoa. Sua significação varia com a sua posiqao na frase."
"É sujeito em qualquer pessoa e objeto direto nas 3as. Equivale a ""se"". Vem logo antes do tema verbal e assume formas diversas, conforme a pes- soa gramatical do sujeito. Entre o","agen- te e o causativo ""mo-"" ou ""mbo-"", em geral, vem ele ""i"", mas não é de rigor. Ex.: a-i-mo-gem: mo-qem. No tupi de São Vicente é pouco usado."
Não hã propriamente,"pessoal: da 3a. pes- soa, em tupi, usando-se ""i"" antes do predicado expresso, mas nunca quando o predicado é subs- tantivo óu Advérbio:"
I,"locativo: o que estã em. E um dos su fixos de ""guara"". Ex.: t-aky-puer-i-xuara: o que estã atrãs de (gente). Afixo: verbal de negagão: não. Os noroes de profissoes e os verbais o admi- tem. Ex.: nd~oré paié-i: não somos pajés. A con- jugagão negativa forma-se da afirmativa, juntan- do-se antes do Verbo: esse Sufixo: que é atono, ou depois da semivogal ""-i"". Caso o Verbo: esteja mo dificado por alguma particula, o ""-i"" (ou ""u"")se coloca depois da particula. Ex.: iepé-"
I,"-mo xe gó uman-i: ainda que eu jã fosse. Afixo: verbal de subordinação. Na conjugagão subordinada, os ver- bos de prefixos agentes perdem esses prefixos e, se terminam em consoante, junta-se-lhes um ""-i"" (ãtono). Sufixo: diminutivo. No grau do substan- tivo o ""i"" aparece como Sufixo: dijninutivo. Ex.: pi- rã: peixe, Pirã-i: peixinho. Modifica também ad- jetivos, geralmente, jã nasalado em ""I"". Ex.: a- gang-I; rechonchudinho. — I."
T,"indica fazer a agão ã toa, sem finalidade, sem intengão de, sem resultado, sem motivo, sem espera de resultado ou, enfim, só por fazer."
"Ifi,","de próximidade: este(a)(s), isto, eis aqui, eis que jã. Usa-se com oadvérbio ""ipó"" para real- ce."
IANG-A,"de aproximagão de coisa que se estã vendo ou não: este(s), isto, eis aqui, eis que ja."
IANG-BAE,"de aproximaqao de coisa que se es- tã vendo ou não: este(s), isto, eis aqui, eis que jã. A particula ""bae” realqa o sentido."
IBÃ,sujeito indeterminado da 3a. pessoa do plu- ral: a gente.
I-BÉ,"logo em. É ‘'b” posposto ã particula ""i"" como reforqo."
X-BÉ,"predicativo: estar sentado, estar quieto. ""I"" ou ""in"" é Verbo: irregular. Com ""b’' signi- fica mais ""estar"" e, na 3a. pessoa, ""haver""."
"IBYÃ,",sujeito indeterminado da 3a. pessoa do plu ral: a gente.
ISI-X• Grau do,"Diminutivo: pequeno, miudo, miudinho."
I-É,"transitivo: Irregular: dizer. É transitivo o Verbo: ""é"": dizer, mas conjuga-se como intransitivo. Com o Prefixo: ""i-"" (que ai é subjetivo}, pode acompanhar ou substituir a particuia ""raé"" (afirmativa): de maneira que, ou, ãs vezes, sem traduqão. Ex.: emona i-é- raé: assim dizem que é."
IG,"ãgua, rio, liquido. É mais ou menos a pronuncia de ""y"", com o mesmo significado."
IGOANA,morador. Indica habitante ou peSsoa radicada em algum lugar.
IGUARA,morador. Indica habitante ou pessoa radicada em algum lugar.
IlÃ,"de proximidade, de uma coisa que se éstã vendo ou não: este (s), isto, eis que jã, eis aqui."
I-lABIO,distributivo: cada um deles.
IÃ-AÍBA,brenha.
"I ÍUKÃ-PYRA,",: morto (que foi matado).
I IUKÃ-PYR'-AMA,: morto (que se rã morto).
I ÍUKÃ-PYR'-OERA,: raorto (o que foi morto).
I-I-YPY,ordinal: o primeiro(s)).
"I KATU-PE. Particulas agrupadas, com fungao de","a olhos vistos, publicamente. Adjetivo: despido nu."
"I KATU-PE-NHE. Particulas agrupadas, com função de ad - vérbio: a olhos vistos, publicamente",despido nu.
I KATU PE-NDUARA,"pubiico, vistO por todos."
IKÃ,"de lugar: aqui, cã. Verbo: transitivo:: entrar. No Gerúndio: recebe a partIcula""a-bo""."
IKó,"de proximidade de coisa ou agão de que se estã vendo: este(s), isto, eis aqui, eis que jã, aqui, agora, jã. Une-se com as par- ticulas expletivas ""-ne"" e ""ra"" (esta de raro uso em separado), que também são de realce.=kó."
"Ex.: eré-ikó oré morubixab'-'amo-ne: serãs nos- so chefe. Quando precedido de ""pyra"" dã-se um circunloquio: i xukã-pyr'-amo eré ikó: foste morto. Tem","irregular. Seu causativo i ""mo-ingó"": por (verbo)."
IKó-AlBA,intransitivo:.
IKó-AlBA,viver mal. 2 Menstruar-se.
IKó-APEPU,predicativo: estar duvidoso. Indicati- tivo de ekó-apepu.
IKó ARA-PORA,o que estã neste mundo.
IKó-AUBA,"predicativo: de agente neutro: estar de mã vontade, fingir ser, fingir estar, fingir fazer. S irregular."
IKó-BAE,"de aproximação de coisa que se es tã vendo: éste(s), isto; eis aqui, eis que — jã. A partlcula ""bae"" realga o sentido.= kó-bae"
IKO-BE,"intransitivo: de agente neutro: estar sao, existir, niorar, viver. É irregular."
IKO-BÉ-PUKU,intransitivo: viver longamente.
IKO-goO-R-EgE,"factivo: cagar, fazer cagada."
IKO-gUPÉ,transitivo-relativo: servir a.
IKO-É,"factivo, irregular, de agente neutro: ser diferente, ser distinto de, diferir."
IKO-EgÉ,"transitivo: er. tender-se com, tratar de."
IKO-EgÉ-KATU,transitivo: perseguir.
IKO-ETÉ,"predicativo, irregular, de agente neutro: ser valente, ser corajoso."
IKó-KA-A-BO,"factivo: cagar, fazer cagada."
IKO-KATU,intransitivo: viver bem.
IKO-MARÃ,"intransitivo, irregular: fazer algo, batalhar, trabalhar."
IKO-MARANI,"factivo, irregular: fazer o que não deve."
IKO-MARANA-RT,intransitivo: guerrear.
IKó—MEMUÃ,"factivo, irregular: fazer o que não de- ve."
IKó—MEMUÃ,"Errar, pecar."
IKó-NHO-TE,predicativo: irregular: estar quieto ou ã toa.
IKó-POTAR-A,"intransitivo, irregular: determi- nar ou querer fazer, decidir."
IKó-POXY,intransitivo: viver mal.
IKO-PUKU,"durativo, irregular: durar, demorar-se,- ter vida longa."
IKó-TEBÉ,"predicativo, irregular: estar aflito, es- tar necessitado."
I-KUAR'-BAE,desvirginada.= i kuar'-i- bae. Adjetivo: desvirginada (mulher).
I MD-CAPYRA,ordinal: o terceir
I MOKOIA,"ordinal: segunP - la. silaba passa a ""in"".. o (de'Íes)"
X MO-MBAK—I,"reflexivo:: despertar. Forma assumida para a conjugação su- bordinada. Perde o Prefixo: agente e, como termi na em consoante, junta-se-lhe um ""i"" final."
IN-A,"predicativo: irregular: estar, estar quieto (p. e. sentado). Infinito: en-a, e o ge rúndio é irregular."
IN-A-0OQÉ,"transitivo: cavalgar, andar a cavalo em."
INAlÉ,variedade de gaviao.
INAiiBU,"nambu ou inhambu, ave da familia dos tinanldeos, gênero Tinamus."
INAMBU-KARAPÉ,"codorna-buragueira, ave da fa- milia dos tinamldeos,-gênero Taoniscus."
IN-BÉ,"auxiliar: estar. Na 3a. pessoa significa ""ha- ver""."
IND'-É,"predicativo: irregular, in- dicativo: estar ã parte, estar quieto."
IN-GATU,predicativo: irregular: estar firme.
IN—I,"predicativo: irregular: estar sentado e/ou quieto. Composto de ""in"": estar parado."
INl,rede de dormir.
INÍ-AQABA,rede de dormir. Verbo: transitivo: deitar-se atravessado na rede.
INl-MBEBA,"cama, leito. Literal: rede chata."
INl-MBO,": fio, linha, corda, cor- del."
INl-MBó-APUÃ,novelo.
INl-MBó-I-'OBA,raca de fiar.= inl-mbó-yba.
IN-IóTE,"predicativo:: estar parado, sem se bolir. 0 infinito en-iote."
INl-PY' -ACJABA,rede de dormir.
IPé-KO,"variedade de pica-pau, ave da familia dos piciformes."
IPó-ÃI-POS,t arpéu-
IPó-QERA,"acaso, provavelmente, quigã, talve"
IPó-QERA,.
"I-POR-EYM. Participio: -""bora"" conjugado como verbo, qua- se só na 3a. pessoa do singular","eym que ne ga a qualidade:• estã pobre, estã vazio, não contém nada, não. S como se se dissesse: estã rico não, etc."
I POTÃ-I-gOarA,ilhos.
I-PUKU EKó (T— J,intransitivo: irregular: demorar.
IPY,"J o avesso ou a parte interna, fundo 2 Capacidade. Verbo: transitivo: ter largura."
I-PYÃ,divisão da casa.
IR-A,"intransitivo: desprender-se, desgrudar-se, se parar-se, soltar-se."
IRAl-TY,cera.
IRAl-TY,Vela.
IRAI-TY-ATÃ,:
IRAI-TY-ATÃ,"breu, pe"
IRAI-TY-ATÃ,.
IRARó,"trahsitivo irregulhr,: dar soco em, irritar, atacar."
IRAY-TY-END ' -ABA-,:
IRAY-TY-END ' -ABA-,castigal.
"I'—R-ETAMA,",colmãeia.
IRU,"companheiro. Não admite o possessivo ""i"", mas somente os outros."
"IRU-MO. Preposigao conectiva: como compaheiro de, com. Esse tipo de preposigao leva o","ao plural, mas iru-namo ou iru-mo pre- ferem-no no singular."
IRUMO,"transitivo: irregular: acrescentar, aumentar o numero.."
IRU-M0-(¡: 6,transitivo: acompanhar.
IrD-MO-T-EKO,transitivo: acompanhar. - iru-mo-gó.
"IRU-NAMO. Preposigãoconectiva, de companhia: com. Esta preposigão, não obstante o seu tipo, prefere o",no singular.
IRU-NAMO-Có,transitivo: acompanhar.
IRU-NAMO-T-EKó,transitivo: acompanhar.
IRUNDYKA,cardinal: quatro Cpouco usado).
IRUNDYKA,.
IRUNDY'- † RUNDYK,distributivo: quatro a quatro.
ITÃ,pedra.
ITÃ,"Ferro, metal."
ITA,concha.
ITÍ-AKANGA-'OBA,t capacete.
ITA-QAMA,f
ITA-QAMA,"ãncora, amarra, poita. 2 Corrente."
ITÃ-^AM'-E-I-TYK-A,intransitivo: largar a poita.
ITÃ-^AM'-E-I-TYK-A,Ancorar.
I-TAQYBA,variedade de formiga.
ITÃ-gYRA,"t enxadao de metal, enxada."
ITÃ-EQÃ-KANGA,t cristal.
ITÃ-É-'Kó-BE,"t mercurio, azougue."
ITÃ-EMBOABA,saia de fios de metal.
ITÃ-ETÉ,: t ago.
ITÃ-GUASU,espécie de mexiLhao.
ITÃ-GUÃ-Í,"cascavel, ofrdio da familia dos cro talideos. Substantivo: cascavel."
ITÃ-GUARAKAPÃ,broquel.
ITÃ-GOyr-UQU,"furna, gruta, lapa."
ITA-lABfi-BY-PIRA,lima.
ITA-I-PUÃ-I-PUÃ,poita.
ITA-I-PUÃ-I-PUÃ,Ãncora. Duplica- qao é de atenqao a forma.
ITÃ-I-TINGA,mãrmore.
ITÃ-lUBA,: ouro.
ITÃ-lUBA,"moeda, di- _. nheiro."
ITÃ-IUB -AIBA,:
ITÃ-IUB -AIBA,latao.
ITÃ-lUB'-E-R-EKO-ARA,:
ITÃ-lUB'-E-R-EKO-ARA,caixa.
ITÃ-IUB'-ETE,dinheiro.
ITA-lUB'-O-YRA,colar de ouro.
ITÃ-ÍUB' -UNA,rtioeda de cobre.
ITÃ-lU'-KAMUQI,"vaso de ouro, cãlice de ouro"
ITÃ-IU'-NEMA,:
ITÃ-IU'-NEMA,cobre.
ITÃ-IU'-TINGA,:
ITÃ-IU'-TINGA,"prata, moeda de prata."
ITA-IYKA,:
ITA-IYKA,estanho
ITÃ-KÃ-g-ABA,marreta.
ITÃ-KÃ-g-ARA,"cavouqueiro, mineiro cavador."
ITA-KE-R-E-ICgOA,"rubi,"
ITA-kOar'- ugu,"furna, cova, lapa."
"ITÃ-KOATI-ARA._Substantivo: pedra escrita ou pintada, ins- crigao rupestre",jaspe.
ITÃ-KUl,:
ITÃ-KUl,cal.
ITÃ-KURUB—I,pedregulho.
ITÃ-KY,"mó, pedra de afiar."
ITA-KYQÉ,faca de pedra.-
ITA-KYQÉ,faca de metal.
ITA-KY-NHA-TI-MANA,mó.
ITÃ—KY-TING'-OK'-ABA,"polidor, rascador."
ITA-MARAKA,"sino. Em guarani é ""itã-i""."
ITA-MARAKA-AMB'-ABA,campanãrio. Guarani: itã-y.
ITA-MARAKÃ-MIRI,"campainha,"
ITÃ-MARANA,acha.
ITA-MARUPÃ-,navalha.
ITÃ-MEMBEKA,: 1
ITÃ-MEMBEKA,chumbo. 2 Esponja.
ITÃ-MÍ'- MBUKU,lanqa. « itã-mina
ITÃ-MIMBY,1
ITÃ-MIMBY,trombeta. 2 Orgão.
ITA-MINA,langa.
ITÃ-MIRl,espécie de mexilhão de ãgua doce. itA-nema itaté-nhé
ITA-NEMA,: cobre.
IT'-ANGAPEMA,tacape. t espada.
IT'-ANGAPEMA-BORA,ferida
IT'-ANGAPEMA-PORA,ferida
ITA-NHAÉ,"prato de pedra. t prato de metal, bacia."
ITA-NHAÉ-PEpO,"t tacho, caldeira."
ITA-NHaS-PEP(5-g0aGU,"t caldeirao de engenho, caldeirão."
IT'-AOBA,t couraqia.
IT'-AóBA-GOYRA,"gruta, lapa."
ITA-OKA,"peixe-sapo, pacamão, da familia dos pimelodldeos, genero Lophiosilurus. Substantivo: casa de ferro. t cadeia, cãrcere."
ITA-O-KYTA,"t coluna, pilar."
ITA-pS',: laje.
ITA-PEBA,: laje.= itã-pé'.
I-TAPEMA,"gavião-tesoura ou itapema, ave da familia dos acipitrldeos, genero Elanoides."
ITA-PE'-(JYRYKA,ãgua que corre espalhada por uma laje.
ITA-POA,: poita. t Ancora.
ITA-pO-APE,t pinga.
ITA-Pó-NUPA-Q-ABA,: t martelo.
ITÃ-PORA,sinal de pedrada.
ITA-POR'-OERA,sinal de pedrada.
ITÃ-PUÃ,": poita, bola de pe- dra. t Ãncora."
ITÃ-PU-E,sino de relógio.
ITÃ-PUKU-QAMA;,"t cadeia, grilhão."
ITÃ-PYGOÃ,"t prego, cravo."
ITÃ-PY-NHUÃ,t grilheta.
ITÃ-R-EPOTI,: ferrugem.
ITÃ-R-EgÉ-EN-A,predicativo: irregular: estar preso em ferros.
ITÃ-R-ERÉ,"ãgua que nasce na pedra, que des- ce p. or uma rocha. Em guarani é ""itã-raré"
ITÃ-R-ERÉ,1
ITÃ-R-EYÍA,montao de 1 pedras.
ITATE-E,"ãs avessas, er"
ITATE-E,"rado, fora de direqao."
ITATÉ-NHÉ,"ãs avessas, errado, fora de direqão."
