tupi,portugues
ATY-RO.,i-bgra;
ATY-YBA.,ombro.  ati-yba. aOIe-bE-ramo
AUANA.,bracelete de penas.
AUB.,mentira.
AUB.,"adverbial: apenas, de leve, de mS vontade, falsamente, fingidamente, mal, mesquinhamente, sem razao, sem resultado, simuladamente, somen te. aOba. Adjetivo: desprezlvel, falso, fingido, mesquinho, vil."
AUSUB-A.,transitivo: de Pronome: agente: amar.
AUCUBA.,"pronominal: gerundio de auqubar-a: compadecen do-se, tendo misericordia."
AU^UB'-AQABA.,"compaixao, misericordia, pena."
AU<^UB ’ -ARA.,"transitivo: ter misericordia ou pe- na de, ter compaixao de, ter do de, compadecer- se de."
AUQUP-ARA.,o que ama.
AUQUP-ARA.,"amigo. aOIE. Adjetivo:‘bom, no ponto (de comer), acabado, con- cluido, maduro, pronto."
AUQUP-ARA.,"Vencido. Verbo: transi tivo (irregular): aprovar. Adverbio: bcm, muito bem, ate que enfim, senao, mesmo que, quando, entao, senao auando. Pode servir-se da conjuga- qao subordinada, embora adverbio. Partlcula que leva ao gerundio e pode servir-se da conjugaçao subordinada: apto, capacitado. Vocativo: basta! chegaI muito bem!"
AOlE |CUPE),"transitivo: render-se a, estar ven'- cido. Tambem se tradu"
AOlE |CUPE),pela cor ou feiqao de cada fruta: i-a-Iu-potar yba
AOIE-BE! Particulas agrupadas,"muito bem! Partl- cula concessiva: ainda quando, ainda que, ape- sar de, embora, mesmo que, por mais que, posto que. aOIE-BE-E. Particulas agrupadas, com funçao adverbial con- cessiva: ainda quando, ainda que, apesar de, embora, mesmo que, por mais que, posto que. aOIe-BE-RAMO. Particulas agruoadas, com funqao adverbial concessiva: ainda quando, ainda que, apesar de, embora, mesmo que."
"AUIE- r TE aOIE-BE-RAMO-TE, Particulas agrupadas, coin funcao adverbial concessiva: ainda quando, ainda que, apesar de, embora, mesmo que- aOIE-BE-TE Particulas agrupadas, com funcao adverbial con- cessiva: ainda quando, ainda que","apesar de, em bora, mesmo que, por mais que, posfo que-"
"AOIE-^ABA. Particulas agrupadas, com funcao substantiva","transitivo:: aprovar, dizer muito bem, Adverbial concessiva: ainda quando, ainda que, apesar de, embora, mesmo que, por mais aue, posto que,"
AUIE-PO,"transitivo: concordar,"
AUIE-PO-E,transitivo: concordar.
AUIE-PARABA,pintado.
AOIE-Ul: Particulas agrupadas,bastal bem feito!
AUM-BARABA.,pintado.
A-UNA.,fruto preto.
AO-PABA.,"1 patria, terra de origem. 2 0 con- junto de anexos do embriao: pareas, placenta."
AOR-A(XE),transitivo: nascerem penas em (sujeito).
SUR-A,"transitivo: sentir alivio (como, por exemplo, com noticia)."
AXIXA.,"aspero, rugoso."
AY.,"bicho-preguiga, da familia dos bradipo- dideos, genero Bradypus. Substantivo: 1 soro, agua. 1 Primei ro leite da femea. 3 Suor. Adjetivo: aguado, aquoso, viscoso."
AY-BS,"transitivo: agourar, augurar, profe tiaar, prognosticar,"
AYBU,"intransitivo: ofegar, resfolegar."
AYBU-QEM-A,"intransitivo: ofegar, resfole- gar."
AYBU-G0AQU,"intransitivo: ofegar, resfole- gar."
AYQE.,"1 parente, parentela. 2 Naçao (da estirpe do sexo masculino, mas da mulher)."
AY-QO.,"bem feito, bonito, formoso. Ex: i-ayg5 ae: ele e bonito."
AY-gYKA.,"leite de vegetal, resina."
A?-X-0K-A.,transitivo: escarogar.
AYKABA.,especie de vespa.
AYNHA.,"1 grao, carogo, semente. 2 Penis (irregular), partes sexuais do homem."
AYNH'-OK-A.,transitivo: escarogar.
AY'-PABA(XE),transitivo: esfalfar.
AY'-PABA,esfalfado.
AY-PU-PUK-A(XE),transitivo: ter polugao (homem).
AY-PYAQURA.,corcova.
AY-PYR-A.,"transitivo: refutar,"
AYPY-PUAR-A.,"transitivo; encastoar, reatar,"
AYRA.,"1 filho (a) do irmao ou do primo do homem; filhote de animal, 2 Familia (na linguagem dos homems e das mulheres). 3 Se- men masculino."
AYRA. NGABA,"afilhado Na linguagem dos homems,"
AYR'ATY.,"nora, mulher do filho, mulher do sobrinho paterno (linguagem dos homems)."
AYR,"miudo, pequeno."
AYR,"miudo, pequeno."
AYR,"miudo, pequeno."
AY-T-A-RO.,"transitivo:, mas admite o Prefixo: ""mo-""; fartar."
AY-T-A-TY,marido da filha (do homem)
AY-TY-MO-NHANG-A,transitivo: fazer o ni- nho. ic-k-ku-k-klc-k k
BA'-BAK-A.,intransitivo;
BA'-BAK-A.,"virar, revirar 2 Espremer,"
"BAE Participio: ativo e sufixo, pronominal relativo e e afirmativo do presente, Indica o agente ou suje_l to Forma-se da 3a, pessoa do indicativo de qual - quer verbo, Traduz-se sempre pelo relativo portugues Tl que"" e as vezes pelas palavras ter minadas em ""-dor 11, M -nte"". Forma os tempos como o","No negativo intercala ""eym' 11 depois do tema verbal, Todos os verbos se podem servir de,"
"BAE Participio: ativo e sufixo, pronominal relativo e e afirmativo do presente, Indica o agente ou suje_l to Forma-se da 3a, pessoa do indicativo de qual - quer verbo, Traduz-se sempre pelo relativo portugues Tl que"" e as vezes pelas palavras ter minadas em ""-dor 11, M -nte"". Forma os tempos como o","- bae M, Os nao transitivos quase so se servem dele 0 Substantivo: ou Pronome: correlativo pode prepor-se ou pospor-se a, 1 -bae l, r e de preferencia. se prepoe quando ele e complemento predicativo."
"Nas oraçoes predicativas tem como adverbio, em ne gativa, u nda,,? rua\ Nao admite objeto direto, se nao da 3a. pessoa. Para a 2a. e para a 3a. pessoa recorre-se ao particlpio u gara M. Mas M -bae u nao perde o","verbal, se- nao quando funciona como predicativo pode perde-Io."
"Pode juntar-se a substantivos e pronomes, mas nao leva","verbal. Todos os demonstrativos podem recebela, para realce. Se houver adverbio ou qu - tra palavra que modifique o verbo, M -bae, T se poe no fim. 'BAE. Indice de classe inferior, para animais e coisas, -mbae. Nao e, entretanto, indice exclusivo."
BAE-pOera. Participio,afirmativo do passado
BAK-A.,"intransitivo: voltar-se. Adje- tivo: 1 revirado, virado. 2 Torto, vesgo."
BANG-A.,"torto, virado, vesgo."
BAYAKU.,"peixe da familia dos tetraodontldeos,"
BE.,"enclitico, Funciona como preposigao dativa: a, para. Substitui como Pronome: obliquo indireto, Foneticamente forma uma so palavra com o vocabulo anterior. Os pronomes pessoais de dati vo assumem a forma u -be u. Ex. u ende-be u: a ti; ""age-be 1: a gente."
BE-RAMEl ~BE.,continuativo ou permansivo. Da essa qualida- de aos noraes em composicao: continuado.
BEBE.,voador. Verbo: intransitivo: voar.
BEBOl-A.,"1 leve. 2 Vao, vazio. Adverbio: de leve."
BEBU-I-T-ABA.,boia.
BE-I.,particula comparativa de superioridade.
BEIO-TINGU'-Y.,vinho de pao ou de milho.
BE-NHE.,"repetitivo: mais, de novo, outra ve"
BE-NHE.,.
BE-NHE-NO.,"continuativo, como Verbo: transitivo: tornar a, virar."
BE-NO.,"continuativo.- Adverbio: de novo, mais, outra ve"
BE-NO.,", tambem"
BERAB-A.,"brilhante, reluzente, resplandecente."
"BE-RAMEI. Particulas agrupadas. Com o gerundio equivale a ""como se"", n igual"", ""semelhante"", sentido de ""ramei"". No agrupamaneto siginifica, no sentido de","intransitivo, ""parecer"". Nunca leva o Prefixo: verbal."
BE-RAME'-TEtI. Particulas. agrupadas,"intransitivo: parecer. Com gerundio pode ser: ""como se"", ""igual a"", ""semelhante"""
BlAR. Particula: pouco a pouco. E um,morosivo progressivo.
BIAR-YBY.,assado em cova no chao.
BI-GuA.,"corvo-marinho, da familia dos fa- lacrocoracideos, genero Phalacrocorax."
BI-GUA-TINGA.,"especie de corvo, ave da familia dos anhingideos, genero Anhinga."
BO.,"locativo: o que e para, por, em, a, o que se destina a, o que e, por. Fonetica- mente forma uma so palavra com a anterior. E um dos sufixos de ""guara"". Sufixo: de gerundio: dos verbos acabados em ""a"", ""e"" e ""o"": por, em, a, de. Ex. iuka: matar; luka-bo: matando. Sufi- xo pronominal: em, a, para. Regido pelas prepo- sigoes de dativo, assume a forma de ""be"". Ex. ixe-bo: a mim."
BO-BOK-A.,"intransitivo: fender-se em varias par- tes, rachar, rebentar. Substantivo: fendas, abertura."
BOQYl-A.,"carga, peso. Verbo: intransitivo: carregar. Verbo: factivo: estar carregado, ser pesado."
BOgYI-T-ABA.,carga.
BOIA.,"cobra. Em tupinamba e ""bohy""."
BOlA.,"criado, discipulo, servo, sudito. Adjetivo: maedio. 0 Prefixo: de classe e ""moro""."
BOlA-KATU.,maedio.
BOK-A.,"abertura, fenda. Adjetivo: aberto, fendido, rachado. Verbo: intransitivo: abrir-se, fender-se, rachar-rse, rcbentar-se."
"Alguns verbcs instxansitivos ou intransitivados podem formar um particlpio com ele, que indica agente ou sujeito, constando simultaneamente a continuidade da açao ou estado. Tambem se sufixa a substantivos e adjetivos, em sentido semelhante ao do","""oso"" portugues. Precisamente ""bora"" significa: o continente, o que esta cheio de, o quem tem (opondo-se a ""pora"", o que e tido"", ""o conteudo"". Pode levar o Sufixo: ""-bae"" se o senti do exigi-lo."
BU-BURA.,"intransitivo: borbotar, emergir, surgir. bura, • tiOER-A. Sufixo: de tempo passado."
BUR-A.,intransitivo:
BUR-A.,"borbotar, emergir, surgir, sair de dentro ou de debaixo de, assomar. 2 0ro- tar."
BYAR-A,"predicativo: ser acomodado # ser manso, ser caseiro,"
BYK-A,"transitivo: aproximar-se, chegar-se a # tocar em."
BY-IUI-PIRA,"beijupira, peixe da familia dos raguicentrldeos, genero Rachycentron,"
BYR-A,"intransitivo: erguer-se, levantar-se. Verbo: transitivo: bulir,"
"BYRA, Nasalaçao de ""pyra","particlpio passivo, de agente indeterminado, Indica o paciente da açao verbal, Tradu"
"BYRA, Nasalaçao de ""pyra","-se pelo nosso participio passado, 0 Verbo: de nasal final nasala M pyra"" em ""byra"","
BY'-RY'-RYMA,"corrupio, ventoinha, A duplica- gao e de continuidade,"
C,de classa inferior.
"Nao faz parte do tema e fem varias funçoes: a) com verbos transitivos, nos casos do infinito, gerundio e formas derivadas","objetivo: sujeito {em qualquer pessoa) e objeto direto das 3as, pessoas, equivalendo-se a ""se"" t"
Pode representar o,Vem logo antes do tema verbal e assume formas diversas conforme a pessoa gramatical do sujeito.
QA.,": olho (somente em compo sigao)- g-ABA # Substantivo: (aba, com o Sufixo: de classe ""g-""): pelo, tanto dos homems, como dos animais,"
"Q-ABA, Participio: ativo, afirmativo do presente, Forma no- mes verbais, substantivos e participios, que indjl cam circunstancias do processo verbal ou o praprio processo verbal abstrato. Sufixa-se ao tema de qualquer verbo, as vezes de substantivos, de adje- tivos, de pronomes e ate ce adverbios. Pode perder o 11 g 11 depois de qualquer vogab Depois de ""a"" e de ""e"" pode perder a primeira sllaba H ca""_ Se a vogal e nasal, ""-ba"" se nasaliza em r, -ma M Depois de ""a 11, perde ou conserva inteira a sllaba mas no ca- so do passado ou no do futuro e comum cair a letra ""g"". No futuro, os verbos terminados em consoante determinam muitas contragoes. Enconfram-se casos em que diante deste particlpio certos verbos so - frem a apocope da vogal tonica. Como o infinito ""gaba"" requer geralmente a anteposicao do sujeito, se o","nao e transitivo, Sendo transitivo, exi ge antes do tema o objeto direto ou pelo menos o"
"Pode-se traduzi-lo por n que"" e pode indicar o obje- to direto ou os complementos circunstanciais, e e regido de preposigao, de cujos verbos e o particl"" pio proprio, E indispensavel conhecer-se bem a re gencia em tupi","diferente da do portugues. Quando preposicionado, tem delimitado o sentido» e/assim# podemos ter: a) se preposicionado por ""ege"" ou ""ri"" tradu"
"Pode-se traduzi-lo por n que"" e pode indicar o obje- to direto ou os complementos circunstanciais, e e regido de preposigao, de cujos verbos e o particl"" pio proprio, E indispensavel conhecer-se bem a re gencia em tupi","-se por: ""por'j T, para M; b) se por 11 -pe M:, r em"""
"Aparece tambem como substantivo, Na forma negativa, quando o particlpio e complemento predicativo, o ad verbio negativo e ""nda 11 _,, rua n, Incluindo o senti- do de ""ter T1",incorporado e nao ao novo objeto. g-AB'-AM'-BUERA q-ag-Oer'-ama
C-ABfi-AlO.,bolsa de gamba. 0 certo e AMBE-AIO (Q).
C-ABE-Y-PORA.,bebedeira. Adjetivo: bebedo.
C - ABe-Y-PORA,intransitivo: embriagar-se. Verbo: factivo: estar bebedo.
Q-ABE-Y-POR'-AIBA.,intransitivo: ficar tocado pela be bida.
CABIA.,"sabia, passaro da familia dos turdideos, genero Tudus."
CABlA-QYKA.,ave da familia dos psitacideos.
QABlA-PIRl,ave da familia dos mimideos.
QABlA-POKA.,sabia do campo.
QABIA-UMA.,variedade de sabia.
CAQAI-A.,intransitivo: estar espalhado.
CACY.,"sem-fim, ave da familia dos cuculideos, genero Tapera."
CAGU'-AQU.,variedade de macaco.
QAGOI.,"sagili, especie de primata da familia dos ca litriquideos."
QAGOl-IUBA.,'variedade de macaco.
QAl,nome de varias aves das familias dos cere- bideos e dos tanagrideos.
QAXA.,renda.
QAI-AQU.,"sanhaco, passaro da familia dos trau- pldeos, genero Thraupis."
Q-AIA-GUERA.,"mordedura. 'QA-INAN-A. Verbo: pronominal: preocupar-se com, prover-se de. Verbo: transitivo: preparar. =nhe- mo-qainan-a-ece."
QA-INGO.,intransitivo; estar pendente da corda.
QAlRA.,nome de varias aves da familia dos tana grideos.
QAlRA-UCU.,"a 2 ulao, passaro da familia dos fringi lideos, generos Cyanocompeoa e Cyanoloxia."
QAIR'-UQU.,"frade, passaro da familia dos trau- pideos, genero Thraupis."
QA-KUA-I-BAE.,macho.
QA-KUAR-ITA.,variedade de caracol.
QAKURA.,especie de buzio.
QAKURA-GOaqu,variedade de buzio.
QAKURA-UNA.,variedade de buzio.
QAMA.,"corda, fio. 0 "" ç "" e tematico. Em tupinamba e ""ca""."
QAMB'-OK-A.,"transitivo: desatar, soltar."
QAM' -BYCYK'-A.,"transitiv. o: puxar por corda, amarrar."
QAM-YQYK-A.,"transitivo: Jpuxar por’ corda, amarrar."
QA-NA-NANGA.,"intransitivo: ser ou estar largo, estar folgado."
QAPATU.,"sapato. Palavra portuguesa aceita pelo tupi, com pequena alteraqad fonetica."
Q-APE.,caminho.
QAPE-TYBA.,"sapesa>, lugar do sape. g-A'-PE-UMA. Participio: ""caba preposicionado. Adverbio: ja. gAPO-AlOBAIA. zoologia: lombriga, verme da familia dos as- carideos, genero Ascaris. gAPO-G-Y. Substantivo: o rio dos cipos. gAPO-O- Substantivo: rai"
QAPE-TYBA.,"muito grossa. gA-PUKAI-A. Substantivo: 1 canto (galo, etc.). 2 Clamor, grjL to. Verbo: intransitivo: clamar, cantar, gritar. gA-PUMI-PUMIN-A.' Verbo: intransitivo: fechar os olhos, pes- tanejar,_piscar os olhos (tudo sem querer). A duplicaçao e de continuidade. 'gA-PYA. Substantivo: presteza. Adjetivo: presto. Adverbio: prestamente, de repente. 'gA-PYA (XE) Verbo: intransitivo: apanhar de surpresa. — g-ARA. Sufixo: participio circunstancial: em aue ocasiao, o em que, o com que, etc. Substitui com muita freqilencia o infinito nao incorporado, sobretu- do no passado e no futuro; em Verbo: cujo infini"
QAPE-TYBA.,"to nao e quase usado. Forma nomes verbais, subS"
"LanLivos e participios, que indicam circunstan- cias do processo verbal ou o proprio processo verbal abatrato, isto e: o lugar, o tempo, a o- casiao, o meio,. o instrumento, o companheiro, a causa, o motivo, o fim, o efeito, o poder, a propria acao. Geralmente na composicao perde o ""q"": a) quando se junta ao tema do","que tex mina em ""a"", ""e"", ""k"" ou ""ng""; b) quando o tema termina em V, mas se lhe junta ""b"", tornando - se ""bara""; c) quando o tema termina em ""n"" ou d-L tongo nasal, mas se lhe junta ""d"" ou ""nd"" tornan do-se ""dara"" ou ""ndara""; d) se o tema termina em ""b"" e muda-se este em ""p""; e) se termina em ditongo oral acabado em ""I"", o ""c"" cai, entrando ""t"" em seu lugar; f) tambem podera perder o ""c"" caso o tema nao acabe em ""a"", Nada perde se o tema termina em ""u"", mas o ""i"", ""u"" e ""y"" finais se mudam em ""u"", ""i"" ou ""y"". Apos na- sal, muda-se em ""ana"". Se o Verbo: termina em ""r"" este cai, embora o Verbo: possa mante-lo no passa do e no futuro. Muitos verbos termihados em vo- gal tonica, nao precedida de consoante, perdem o ""q""e acrescenta-se ""gu"" ao tema, tornando-se ""gu-ara"". Os verbos formados com ""qara"" portam- se sem diferenga como substantivos ou adjetivos."
"E participio ativo, de verbos intransitivos. Tra- duz-se como ""-bae"", -raas nao leva como este o pre fixo verbal. gARAgARA.",: inseto da fa
"E participio ativo, de verbos intransitivos. Tra- duz-se como ""-bae"", -raas nao leva como este o pre fixo verbal. gARAgARA.","mllia dos formicideos, genero Camponotus."
CARAKURA.,"saracura, ave da familia dos ralideos."
"QAR'-AM'-EYMA. Participio: negativo de ""cuara’ 1, no tempo do futuro: o que nao costumara a ser ou a estar = guar' -am' -eyrrta. gARAPO.","variedade de enguia, peixe do genero"
CARARA.,variedade de caranguejo. Entomolo- gia: ] especie de mariposa. 2 Cupim alado.
CARARA-UNA.,"variedade de caranguejo gARAOAlA. Substantivo: selvagem. Das poucas palavras da Ixn gua portuguesa aceitas pelo tupi r mas com alte- raçao fonetica. gARIAMA. Ornitologia: sariema ou seriema, ave da familia dos carianideos"
CARARA-UNA.,"genero Cariama, Literalmente: cris- ta em pe"
QARIGOE.,"cassaco, sarigue, sarue, marsupial da fa mllia dos dedelfideos"
QARIGOE-lA.,"cassaco, sarigue"
QARIGOE-lA.,"sarue, marsupial da familia dos dedelfideos."
QARIGOe-I-BElO,"marta, mamifero digitigrado."
QARI-NAMBI-GOara,peixe corcovado.
QARI-OE.,"cassaco, sarigue, sarue, marsupial da fa mllia dos dedelfxdeos."
"QAR' -OER' -AMA. Participio afirmativo de ""cuara 11",no tempo do futuro-passado: o que teria costumado a ser ou a estar.
QARU-^IA-GOaqu,"variedade de caranguejo,"
"Q-^A'-TYBA. Agrupamento do participio ""gaba"" com o","1l tyba M, dando"
"Q-^A'-TYBA. Agrupamento do participio ""gaba"" com o","lhe ideia mais acentuada de: constancia, continuacao, frequencia, habito."
QA0-1a,"cobaia, rato do mato, da familia dos cri- cetldeos, genero Oryzomys."
QA-Y.,agua dos olhos
QA-Y.,lagrima.
Q-E,"paciente da 3a_ pessoa. Prefixa ""mi"" ou ""mbi” como Indice de classe inferior. Ex. c-e-mi-Iuka: inorto (por ser inferior, por animal."
QEEA,defectivo: assomar.
"Q-E-BAE, Particulas agrupadas substantivadas: acompanhamento","condiraento (de peixe, de carne), tem pero. 0 ""c"" e tematico."
"CEBI-PIRA. Botânica: sucupira, da familia das leguminosas, subfamilia cesalpinaceas P gEBI-TU_","variedade de formiga. gEBOl. Substantivo: frieira. gEBOI-NHANGA, Zoologia: sanguessuga, da familia dos anell- deos, genero Hirudus. g-EgE. Preposicao. Coloca-se depois da palavra a que rege."
"Trat^-se do indice de classe 11 c 11 com a particu la fl ece,†: por Com a complementaçao de U katu 1† (boiri"" significa ""saber fazer""). Ex. er-e katu g-ege: sabes faze-loPode ser: a, can, contra. gEGOE!","(espanto ou zombaria, somente na iinguagem dos homsns): veja issol"
QEl-A.,"transitivo:: querer, ter vontade ou apetite de> Ex a-u-gel_ quero beber agua. Pitanga o-kamb-u-cel: a cri"
QEl-A.,anca quer mamar.
QElAR-A.,"transitivo: deixar. gEIXU Astronomia: Pieiadas, Setestrelo O tuui (gente) nao tinha nogao do ano solar. Os missionarios aproveitavam con- 'ceitos conexos, como a volta do Setestrelo no ceu para dar-lhe a ideia do ano, e, assim: t ano. gEIXU-IURft. Astronomia: nome de uma constelacao, gEIXU-PIRa. Ictiologia: variedade de peixe gEM-A Substantivo: salda, mudanga para outra regiao. Verbo: intransitivo: 1 desembarcar. 2 Nascer (o sol, a lua, uma estrela). ""Sair. gEM-A {gui}, Verbo: intransitivo: sair. gEMA-PE, Verbo: trans itivo re lativo: itmdar para."
QEMB'-2,"intransitivo: sair a parte g-E-MBI, ""Mbi"" que prefixa o Verbo: despido de Pronome: e, em gexal, requer os prefixos de classe, Ex. g-e-mi-Iuka: morto por ele(s). Por animal ou coisa."
"Literalmente; queixada da criaçao. g-E-MI. ""Mi^/que prefixa o","despido de Pronome: e, em geral, requer os prefixos de classe (no caso"
Q-ENDUB-A.,intransitivo: ouvir.
QENEMBY.,"papa-vento, camaleao, reptil da familia dos camalentideos, genero Chamales. g—ENOI. Verbo: transitivo; chamar."
Q-EPlAK-A.,transitivo: ver olhar.. Adverbio: provavelmente. Com Verbo: negativo significa certamente. Como adver bio serve como interrogativa dubitativa. Indica que a pessoa que fala esta perguntando. gERA-MO-N'AE. Particulas agrupadas condicionais: como se.
"Exprime o passado. Para o futuro acrescenta-se ""ram” ao","Para o negativo acresce-se ""eym- iaramae"", ""eym'-ete"" ou ""eym'-ete-m'-ae""."
QERA.-ME. PartiCTUa^diSDita^^^ 5 fnterrcgativa: acaso? porventura?= qera. gEREYBA.,"mangue-branco, variedade da familia'das r-fa' A verbenaceas, genero Avicennia.."
QER-OKEPYRA.,batizado. Literalmente: de no- escolhido.
"IEk-OKEPYR' -EYMA. bubstantivo: paçao, sem ncme escolhido. iERURU.","ialacologia: mexilhao ou sururu, molusco aa fami lia dos mitilideos, genero Mytella. g'-ETE. ñuhsfantivo: parte principal, substancia, forqa, ma teria.  giBE-PYRA. Botanica: sucupira, do genero Bowchichia."
QIE-giE-ETE.,"chora-mare, dafamilia dos occi podideos, genero Uca. A duplicaçao indica abundan cia, reforqada ainda por ""ete"". giE-giE-PANEMA. Crustaceologia: variedade de caranguejo. Pela adjetivacao ""panemaV deveria ser imprestavel. giNINGA. Adjetivo: sonante, sonoro, Substantivo: zunido. giNI-NING-A. Verbo: freqilentativo: retinir, tinir, zunir."
QIRI-APUA.,variedade de caranguejo.
QIRI-GUAlA.,"santola, aranha do mar, da familia dos partenopideos, genero Libinia. giRI-MIRl. Crustaceologia: variedade de siri."
QIRI-NEMA.,"variedade de siri. A adjetivacao ""nema"" indica que seria mal-cheiroso. çIRI-0BY gOO-AIBA"
CIRI-OBY.,variedade de caranguejo.
OIRI-gOa^u,". variedade de siri Ogrande). pO. Verbo: intransitivo:: ir, ir a. Tem imperativo irregular. Como Verbo: relativo pede sua preposicao. A mais comum e ""ege"". Admite as vezes a incorporaçao do sujeito. Verbo: transiti vo: fazer cacada. E irregular. — (jO. Sufixo: (com fungao adverbial): quase que, por pouco."
COBAYE.,o que se liga ou se adere em frente.
QO'-COK-A.,"intransitivo: iterativo-durativo: espedagar-se, par tir-se, quebrar-se em varios pedagos."
CO-gul,intransitivo:: para nao ir.
CO-CUI-BE.,intransitivo:: desde a ida.
CO-e,": quase aue, por pou co."
CO-E-R-I.,": quase que, por pouco."
CO-GOARINI-NAMO.,intransitivo:: ir a guerra.
CO-GOarINI-RAMO.,intransitivo:: ir a guerra.
CO-GOI-IE-BY',intransitivo: regressar.
COK-A.,"transitivo: aguilhoar, amassar, chugar, dar estocada em, moer, partir, pisar, quebrar, socar, tocar. 0 ""g"" e tematico. Verbo: intransi"
COK-A.,"tivo:»partir-se, quebrar-se. Pede o uronome "" 10""."
C0-KAA-BO.,transitivo: ir a caca.
CO-KAA-PE.,transitivo: ir fazer as necessidades.
C-OKEKD'-AB-A.,transitivo: fechar a porta.
COKO.,"soco, nome comum de varios passarcs da familia dos ardeideos, generos Tigrisoma, Buto rides, Zebrilus. Alimentam-se de peixes."
CO-MORA-PE-PE.,intransitivo: vir a recebimento.
COO.,"bicho, animal de caca."
COO.,Gado.
COO.,transitivo: convidar.
COO-A.,espinhaco de animal.
COO-AIBA.,animal cuja carne nao se come.
COO-KU-ABA,"predicativo: ser bom para cacar. Ver bo transitivo: saber cacar, Tudo relativamente ao cao."
COO-KU-AP r -ARA,cacador.
COO-KU-GO-ABA,predicativo: ser bom para cagar.
COO-MBO-I-CARA,"acougoe,"
COO-MIMB'-ABA,animal que nao se come.
QOO-MI-MOlA.,carne cosida
QOO-PE.,a trilha do animal de caga.
QO0-RAG0eRA.,pano
COO-R-ECS-IKO-,"transitivo, irregular: fazer caga da."
CO.,transitivo: ir.
CO-PE.,transitivo: ir a.
CO-R-ECE,"transitivo:: por causa de ir,"
CO-REME.,"transitivo:: se (ou quando) for,"
COROKA.,"sarda, da famrlia dos tunideos, Botani- ca: soroca, arvore da' familia das xnoraceas r ge- nero Soroca. qOROK-A.. Verbo: transitivo: rasgar, romper-se 0 gerundio e coro-g."
COROK,"o rasgao, a ruptura."
QORO-ROKA.,"sororoca, da familia dos tunideos, genero Scomberomorus. gORO-ROK-A, Verbo: intransitivo: romperqse ou rasgar-se em varios pedacos. A duplicacao e de intensidade."
QORO-RQ'-ROK-A.,"intransitivo: romper-se ou rasgar-se em varios pedacos. A triplicaçao ç de muita in sidade no fato,"
CU,"covao, gU-ACU. Zoologia: veado, da ord"
CU,m dos artiodatilos.
CO-AlA.,cauda de qualauer animal.
CU-Agu-APARA.,"veado galheiro go-Agu-A-RANA, Zoologia: variedade de puma, animal felino,"
CU-Agu-APARA.,"cabra, cabrito"
CU-Agu-APARA.,"animais caprinos, gu-Agu-MIMB' -ABA. Zoologia"
CU-Agu-APARA.,"cabra, cabrito. gu-AQU-RANA. Zoologia, variedade de puma.=gu-agu- a-rana. i°\; guA-PE guB-A {lo-)"
Q-Oara. Participio:,"em geral de complemento cir- cunstancial, ou se. js de substantivos, pronomes, infinitos preposicionados ou a adverbios e locu coes adverbiais: o que costuma ser ou estar. Quando precede nasal, pode assumir a forma ""nduara"". Depois de ""i"", em geral se converte em ""xuara"". Em docu - mentos apr. rece tambem com as formas ""coara"", ""ndoara"", ""xoara"",""goara” e ""guara"". Depois de ""y"" e mesmo de ""i"" pode assumir a forma ""guara"""
CUB-A.,"transitivo: dar busca em, esquadrinhar, revistar, visitar. 0 u ce"" e tematico. Pede o Pronome: ""io""."
CUBAN-A.,"transitivo; chupar o sangue. 0 ""c"" e tematico e se muda em ""x' em contato com ""i"" ou ""v"". Ex: nde-guban: ele te sugou; a-i-xuban: eu o suguei. gu-CUA. Substantivo: inchaco (com pus). 0 ""c"" e tematico."
"Em contato com ""i"", na 3a. pessoa, muda o ""g"" em ""x"". guguNG-A (XE)","intransitivo: tremer. Substanti- vo: tremor. Adjetivo: tremulo, gu-gURA. Substantivo: altibaixos (na madeira, etc.). A duplicacao e de abundancia."
"Em contato com ""i"", na 3a. pessoa, muda o ""g"" em ""x"". guguNG-A (XE)","O ""g"" e tematico e, na 3a. pessoa, em contato com ""i"", se muda em ""x"". gu-GUARAI-Y (XE) Verbo: predicativo: ser meretri"
"Em contato com ""i"", na 3a. pessoa, muda o ""g"" em ""x"". guguNG-A (XE)",gul. Preposigao (coloca-se depois da palavra a que rege).
"Tem sentido de: a) procedencia e separaçao: de longe, de fora, fora de? b) negaçao de compa- nhia: sem, e nao, para nao; c) comparativa: do que, mais que; d) causa: de, a; e) re- flexivo: proprio, mesmo (eu, tu, etc.). B usa- do tambem corao segundo termo de comparaçao de superioridade, significando: acima de. 0 pri- meiro termo pcde ser ""be"" (mais), ""be-I"" (um pouco mais), ""ete"" (muito) ou ""pyryb” (um pou co mais). gul-BEr Preposigao: desde. Em tupi nao ha tradugao para desde que, nem para ate que. 0 primeiro e subs tituido por ""rire"" (depois que) ou ""abe"" (logo que. Em guarani e corrente ""gui-be"" (desde que). guI-ND'-ARA.","cornija de igreja. gui-RI-RI. Ornitologia: ave da familia dos tiranideos. _ gUKURI. Ictiologia: variedade de caçao. gUKURI-lUBA. Zoologia: sucuriu, variedade de cobra. gUMARA. Substantivo: inimigo. O ""g"" e tematico e muda-se em ""x"", na 3a. pessoa, em contato com ""i"". guME"
QY-EYMA (JUME.,"nome de mna entidade superior da Mitologia: tupi. Atribuem-no a S. Tomae que estivera, segundo uns, no Brasil. — maira-qumae."
